Date,Open,High,Low,Close,Adj Close,Volume,stock
2012-05-22,24.75,25.280001,24.695,25.280001,13.134416,41784,R6C0
2012-05-23,24.77,24.799999,24.559999,24.559999,12.760335,12595,R6C0
2012-05-24,24.825001,25.280001,24.795,25.280001,13.134416,16695,R6C0
2012-05-25,25.200001,25.285,24.969999,25.1,13.040893,15955,R6C0
2012-05-28,25.379999,25.379999,25.129999,25.155001,13.069468,5060,R6C0
2012-05-29,25.315001,25.385,24.950001,25.23,13.108438,19121,R6C0
2012-05-30,24.91,25.040001,24.809999,24.985001,12.98114,23958,R6C0
2012-05-31,25.09,25.245001,24.775,24.99,12.983742,25617,R6C0
2012-06-01,25.235001,25.235001,24.299999,24.610001,12.786311,31951,R6C0
2012-06-04,24.434999,24.700001,24.375,24.445,12.700585,53948,R6C0
2012-06-05,24.655001,24.889999,24.545,24.545,12.75254,41718,R6C0
2012-06-06,24.860001,25.1,24.799999,25.1,13.040893,24682,R6C0
2012-06-07,25.219999,25.5,25.1,25.245001,13.116233,8278,R6C0
2012-06-08,25.07,25.16,24.9,25.139999,13.061673,64724,R6C0
2012-06-11,25.365,25.514999,24.9,25.299999,13.144805,25002,R6C0
2012-06-12,25.5,25.74,24.9,25.74,13.373407,17908,R6C0
2012-06-13,25.615,25.9,24.9,25.805,13.407184,68392,R6C0
2012-06-14,25.76,25.77,25.485001,25.77,13.388995,28375,R6C0
2012-06-15,25.889999,26.4,25.889999,26.245001,13.635788,111860,R6C0
2012-06-18,26.584999,26.700001,26.299999,26.299999,13.664366,37703,R6C0
2012-06-19,26.58,26.77,26.48,26.68,13.861794,10382,R6C0
2012-06-20,26.549999,26.9,26.549999,26.725,13.885175,15186,R6C0
2012-06-21,26.629999,26.639999,26.415001,26.415001,13.724114,24780,R6C0
2012-06-22,26.165001,26.215,26.030001,26.145,13.583833,16760,R6C0
2012-06-25,26.195,26.195,25.815001,25.985001,13.500703,23951,R6C0
2012-06-26,26.01,26.190001,25.5,25.985001,13.500703,20659,R6C0
2012-06-27,26.014999,26.33,25.91,26.315001,13.672157,17805,R6C0
2012-06-28,26.325001,26.370001,26.084999,26.32,13.674757,29614,R6C0
